rxn_ID	control	cold
rxn00001_d0_f	0	0
rxn00048_d0	0	0
rxn00069_d0_f	0	0
rxn00076_d0	0	0
rxn00077_d0_f	0	0
rxn00097_d0_f	0	0
rxn00117_d0_f	0	0
rxn00122_d0	0	0
rxn00148_d0_f	0	0
rxn00151_d0	0	0
rxn00175_d0	0	0
rxn00191_d0_f	0	0
rxn00192_d0	0	0
rxn00208_d0	0	0
rxn00209_d0	0	0
rxn00237_d0_f	0	0
rxn00248_d0_f	0	0
rxn00272_d0_f	0	0
rxn00275_d0_f	0	0
rxn00300_d0	0	0
rxn00333_d0	0	0
rxn00338_d0	0	0
rxn00391_d0_f	0	0
rxn00692_d0_f	0	0
rxn00747_d0_f	0	0
rxn00781_d0_f	0	0
rxn00782_d0_f	0	0
rxn00830_d0_f	0	0
rxn00838_d0	0	0
rxn00929_d0_f	0	0
rxn00931_d0_f	0	0
rxn00947_d0	0	0
rxn00980_d0	0	0
rxn01000_d0	0	0
rxn01100_d0_f	0	0
rxn01102_d0_f	0	0
rxn01106_d0_f	0	0
rxn01115_d0_f	0	0
rxn01200_d0_f	0	0
rxn01213_d0	0	0
rxn01255_d0	0	0
rxn01301_d0_f	0	0
rxn01302_d0_f	0	0
rxn01334_d0_f	0	0
rxn01345_d0	0	0
rxn01486_d0	0	0
rxn01636_d0_f	0	0
rxn01644_d0	0	0
rxn01827_d0	0	0
rxn02212_d0	0	0
rxn02251_d0	0	0
rxn02305_d0_f	0	0
rxn02374_d0	0	0
rxn02380_d0_f	0	0
rxn02475_d0	0	0
rxn02507_d0	0	0
rxn02928_d0_f	0	0
rxn02929_d0_f	0	0
rxn02937_d0	0	0.008853644
rxn03080_d0	0	0
rxn03137_d0_f	0	0
rxn03147_d0	0	0
rxn03891_d0	0	0
rxn03892_d0	0	0
rxn03909_d0	0	0
rxn03910_d0	0	0
rxn04113_d0	0	0
rxn05023_d0	0	0
rxn05040_d0	0	0
rxn05104_d0	0	0
rxn05105_d0_f	0	0
rxn05106_d0	0	0
rxn05287_d0	0	0
rxn05324_d0_f	0	0
rxn05325_d0_f	0	0
rxn05326_d0_f	0	0
rxn05343_d0_f	0	0
rxn05345_d0_f	0	0
rxn05346_d0_f	0	0
rxn05348_d0_f	0	0
rxn05350_d0_f	0	0
rxn05736_d0	0	0
rxn07579_d0_f	0	0
rxn08352_d0	0	0
rxn08392_d0_f	0	0
rxn08756_d0	0	0
rxn08766_d0_f	0	0
rxn09444_d0	0	0
rxn09449_d0	0	0
rxn09453_d0	0	0
rxn11040_d0_f	0	0
rxn11702_d0	0	0.001023139
rxn12282_d0	0	0
rxn14012_d0	0	0
rxn14085_d0	0	0
rxn15022_d0	0	0
rxn15069_d0_f	0	0
rxn15116_d0_f	0	0
rxn15166_d0	0	0
rxn15250_d0	0	0
rxn15271_d0_f	0	0
rxn15298_d0_f	0	0
rxn15364_d0_f	0	0
rxn15493_d0_f	0	0
rxn15494_d0_f	0	0
rxn16426_d0	0	0
rxn16427_d0	0	0
rxn16428_d0	0	0
rxn17196_d0	0	0
rxn17469_d0_f	0	0
rxn19027_d0_f	0	0
rxn19029_d0_f	0	0
rxn19030_d0_f	0	0
rxn19071_d0	0	0
rxn19240_d0_f	0	0.016468048
rxn19241_d0_f	0	0.016597271
rxn19242_d0_f	0	0.008080959
rxn19246_d0	0	0
rxn19253_d0	0	0
rxn19343_d0	0	0
rxn19544_d0	0	0
rxn19545_d0	0	0
rxn19828_d0_f	0	0
rxn19900_d0	0	0
rxn20643_d0	0	0
rxn23155_d0_f	0	0
rxn23415_d0_f	0	0
rxn23805_d0	0	0
rxn24109_d0	0	0
rxn24310_d0	0	0
rxn24312_d0	0	0
rxn25647_d0_f	0	0
rxn25743_d0_f	0	0
rxn25747_d0_f	0	0
rxn25750_d0_f	0	0
rxn25762_d0	0	0
rxn27029_d0	0	0
rxn27030_d0	0	0
rxn27069_d0_f	0	3.04E-05
rxn27070_d0_f	0	3.04E-05
rxn27071_d0_f	0	3.04E-05
rxn27072_d0_f	0	3.04E-05
rxn27259_d0	0	0
rxn28082_d0_f	0	0
rxn31768_d0	0	0
rxn37018_d0_f	0	0
rxn37266_d0_f	0	0
rxn37324_d0	0	0
rxn37610_d0	0	0
rxn37651_d0_f	0	0
rxn00917_d0	0	0
rxn00213_d0_f	0	0
rxn00416_d0	0	0
rxn00710_c0	0	0
rxn20595_y0	0	0
rxn09839_d0_i	0	0
rxn33186_d0_i	0	0
rxn00001_d0_r	0	0
rxn00077_d0_r	0	0
rxn00097_d0_r	0	0
rxn00191_d0_r	0	0
rxn00248_d0_r	0	0
rxn00272_d0_r	0	0
rxn00275_d0_r	0	0
rxn00391_d0_r	0	0
rxn00459_d0_r	0	0
rxn00711_d0	0	0
rxn00747_d0_r	0	0
rxn00777_d0_r	0	0
rxn00781_d0_r	0	0
rxn00782_d0_r	0	0
rxn00789_d0	0	0
rxn00790_d0	0	0
rxn00791_d0	0	0
rxn00830_d0_r	0	0
rxn00832_d0	0	0
rxn00929_d0_r	0	0
rxn00931_d0_r	0	0
rxn01102_d0_r	0	0
rxn01111_d0_r	0	0
rxn01115_d0_r	0	0
rxn01116_d0_r	0	0
