rxn_ID	Control	FeLim	FeEx	ZnLim	ZnEx
EX_cpd00067_e0_o	358.80713	355.0172	355.975	354.42508	354.1713
EX_cpd00007_e0_o	90.21607	44.258595	42.951893	42.271122	46.58795
EX_cpd00009_e0_o	316.5614	318.6844	320.855	317.60583	318.44992
EX_cpd00008_e0_o	379.501	380.0587	380.72424	378.7174	379.49634
rxn00001_d0_f	27.148193	32.313354	35.387695	43.903564	34.242065
rxn00018_d0	42.103943	49.86228	41.953033	44.930603	43.29973
rxn00048_d0	0	0	0	0	0
rxn00069_d0_f	0	0	0	0	0
rxn00076_d0	0	0	0	0	0
rxn00077_d0	0	0	0	0	0
rxn00086_d0_f	0	0	0	0	0
rxn00097_d0_f	22.257324	26.802612	32.066162	42.285645	29.21106
rxn00102_d0_f	17.493652	20.54596	20.038696	18.232727	0
rxn00117_d0_f	3.8226318	3.4559937	3.3361816	3.3984985	4.967682
rxn00121_d0	13.187317	9.848755	21.013489	19.042694	18.590149
rxn00122_d0_f	16.176392	14.147095	23.564453	21.668701	22.034119
rxn00124_d0	0	0	0	0	0
rxn00148_d0_f	19.011963	18.635498	18.62201	7.6324463	17.971619
rxn00151_d0	0	0	0	6.097595	0
rxn00154_d0	0.1670866	2.6774712	2.0065918	2.9618607	1.948492
rxn00161_d0	0	0.33994937	0	0.12263012	0
rxn00175_d0	0.24513634	0.17430435	0.2743607	0.26958662	0.2532878
rxn00179_d0_f	11.7335205	0.60705566	0.14819336	0.019042969	7.6480713
rxn00187_d0	27.108702	20.178991	31.212477	28.383532	18.756927
rxn00191_d0_f	0	0	0	0	0.6769409
rxn00192_d0	0	0	0	0	0
rxn00208_d0	0	0	0	0	0
rxn00209_d0	0	0	0	0	0
rxn00237_d0_f	13.598022	12.000427	11.786987	12.287903	11.322662
rxn00248_d0_f	21.682861	26.717102	9.6102295	26.461792	22.416077
rxn00260_d0_f	1.685669	0	0	0	1.7731934
rxn00272_d0_f	0	0	0	0	0
rxn00275_d0_f	0	0	0	0	0
rxn00300_d0	0	0	0	0	0
rxn00313_d0	0	0	0	0	0
rxn00333_d0	0	0	0	0	0
rxn00337_d0_f	23.315796	17.124573	14.4505005	18.47467	18.731812
rxn00338_d0	0	0	0	0	0
rxn00361_d0	0	0	0	0	0
rxn00391_d0_f	32.48474	2.6556396	40.57538	1.0358887	39.27887
rxn00392_d0	34.422596	5.6961927	41.897423	3.704512	41.3727
rxn00394_d0	0	0	0	0	0
rxn00409_d0_f	3.8173828	3.4524536	3.32312	3.294983	4.9561462
rxn00414_d0	0.82097214	0.7289907	0.85831535	0.9495954	0.632358
rxn00420_d0_f	0	0	0.57507324	1.0296631	0.5475464
rxn00459_d0_f	0	0	0	0	0
rxn00493_d0_f	0.69940186	0	0	0	1.7734375
rxn00506_d0	0	0	0	0	0
rxn00527_d0_f	0.55114746	0	0	0	1.4140625
rxn00533_d0_f	15.677124	14.417358	16.335938	16.133362	15.738159
rxn00611_d0_f	0	0	0	0	0
rxn00689_d0	0	0	0	0	0
rxn00692_d0_f	2.2182007	0.9641113	1.1384277	0.69555664	0
rxn00693_d0_f	0	0	0	0	0
rxn00720_d0_f	0	0	0	0	0
rxn00737_d0	0	0	0	0	0
rxn00747_d0_f	20.793701	23.079956	19.203125	20.197876	23.228638
rxn00770_d0	0.49645424	2.3678694	1.776197	3.924363	1.4935384
rxn00777_d0_f	10.598389	16.265198	10.82251	10.86084	11.718262
rxn00781_d0_f	0	0	0	0	0
rxn00782_d0_f	0	0	0	0	0
rxn00800_d0_f	11.216919	11.06665	9.6828	10.800659	9.915558
rxn00802_d0_f	7.1953125	0	5.0440674	7.633301	7.208496
rxn00830_d0_f	0	0	0	0	0
rxn00832_d0_f	0	0	0	0	0
rxn00838_d0	4.4531913	5.027418	4.9492345	5.673032	4.014607
rxn00839_d0_f	3.8173828	3.4524536	3.32312	3.3839722	4.9561462
rxn00863_d0_f	0.1842041	0	0	0	0
rxn00899_d0	0	0	0	0	0
rxn00907_d0_f	10.543701	5.154663	5.245117	4.196045	12.237427
rxn00929_d0_f	0	0	0	0	0
rxn00931_d0_f	0	0	0	0	0
rxn00947_d0	0	0	0	0	0
rxn00974_d0_f	5.1225586	10.743439	0	0.9206543	6.9851074
rxn00980_d0_f	0	0	0	0	0
rxn01000_d0	0	0	0	0	0
rxn01011_d0_f	0	0	0	0	0
rxn01018_d0_f	0.15222168	0	0	0	0
rxn01019_d0_f	0	0	0	0.19970703	0.11187744
rxn01069_d0_f	0	1.5175171	0	1.3638916	0.82055664
rxn01100_d0_f	64.86304	79.47449	66.883545	68.53589	72.98108
rxn01101_d0_f	4.7337646	9.113953	6.880127	4.711975	6.7597046
rxn01102_d0	0	0	0	0	0
rxn01106_d0_f	0	0	0	0	0
rxn01111_d0	36.26776	47.006607	37.212112	39.50023	39.42874
rxn01115_d0	0	0	0	0	0
rxn01116_d0_f	0	0	0	0	0
rxn01200_d0_f	8.615845	13.242371	11.567932	10.366211	10.413086
rxn01207_d0	0	0	0	0	0
rxn01211_d0_f	5.8780518	0	0	0	6.559082
rxn01249_d0_f	0	0	0	0	0
rxn01255_d0	3.3285754	3.9470835	3.6224573	2.5496564	3.0455678
rxn01256_d0	2.1078677	1.9674366	1.8051234	0.9434099	1.5166787
rxn01257_d0_f	2.147583	0	0	0	0
rxn01258_d0_f	0	0	0	0	0
rxn01301_d0_f	0	0	0	0	0
rxn01302_d0_f	0	0	0	0	0
rxn01332_d0	3.3285754	5.1744647	3.3946652	3.2078483	1.7127044
rxn01334_d0_f	0	0	0	0	0
rxn01345_d0_f	7.9694824	10.986816	12.484985	12.062988	9.051758
rxn01353_d0_f	3.8173828	3.4524536	3.32312	3.3839722	4.9561462
rxn01396_d0	0	0	0	0	0
