rxn_ID	ml_Control	ml_FeLim	ml_FeEx	ml_ZnLim	ml_ZnEx
EX_cpd00067_e0_o	358.50418	353.30008	353.24774	355.11777	353.94125
EX_cpd00007_e0_o	93.312904	60.888355	52.5664	50.447315	58.61536
EX_cpd00009_e0_o	307.60956	314.38824	313.5333	314.03745	311.79877
EX_cpd00008_e0_o	359.62384	368.18195	362.1546	362.94888	360.87766
rxn00001_d0_f	13.324707	0	14.696777	19.251709	24.23291
rxn00018_d0	12.486954	14.552725	10.562744	12.330231	12.15963
rxn00048_d0	0	0	0	0	0
rxn00069_d0_f	0	0	0	0	0
rxn00076_d0	0	0	0	0	0
rxn00077_d0	0	0	0	0	0
rxn00086_d0_f	0	0	0	0	0
rxn00097_d0_f	6.4172363	0	6.4416504	9.552734	12.437744
rxn00102_d0_f	0	0	2.2871094	3.5595703	4
rxn00117_d0_f	8.029144	7.2924194	8.870178	9.021149	9.641464
rxn00121_d0	8.273407	3.909729	7.4400024	9.155609	12.954643
rxn00122_d0_f	16.039368	11.06189	16.759705	14.931244	22.356873
rxn00124_d0	0	0	0	0	0
rxn00148_d0_f	20.786621	6.942871	20.24878	20.62915	20.197632
rxn00151_d0	0	0	0	0	0
rxn00154_d0	0	0	0	0	0
rxn00161_d0	0	0	2.1914597	0	0
rxn00175_d0	0	0	0	0	0
rxn00179_d0_f	0	0	0	0	0
rxn00187_d0	37.900776	49.093025	43.15013	38.130844	36.272007
rxn00191_d0_f	1.7946777	0	0	2.6625977	1.5936279
rxn00192_d0	0	0	0	0	0
rxn00208_d0	0	0	0	0	0
rxn00209_d0	0	0	0	0	0
rxn00237_d0_f	15.185486	15.759338	15.893646	20.331299	20.634079
rxn00248_d0_f	0	0	0	0	0
rxn00260_d0_f	0	0	0	0	0
rxn00272_d0_f	0	0	0	0	0
rxn00275_d0_f	0	0	0	0	0
rxn00300_d0	0	0	0	0	0
rxn00313_d0	0	0	0	0	0
rxn00333_d0	0	0	0	0	0
rxn00337_d0_f	0	0	0	0	0
rxn00338_d0	0	0	0	0	0
rxn00361_d0	0	0	0	0	0
rxn00391_d0_f	121.37574	134.26535	125.10491	120.34341	118.757866
rxn00392_d0	124.51439	136.64563	128.33875	123.49361	122.48066
rxn00394_d0	0	0	0	0	0
rxn00409_d0_f	8.029144	6.8621216	5.183655	8.844727	9.571228
rxn00414_d0	1.9389702	3.7697175	2.1316135	2.1863623	1.8983953
rxn00420_d0_f	3.9352722	2.1184082	3.6959229	4.515869	3.9207764
rxn00459_d0_f	3.9238281	7.7231445	0	4.2301025	3.8206787
rxn00493_d0_f	0	0	0	0	0
rxn00506_d0	0	0	0	0	0
rxn00527_d0_f	0	0	0	0	0
rxn00533_d0_f	0	0	0	0	0
rxn00611_d0_f	0	0	0	0	0
rxn00689_d0	0	0	0	0	0
rxn00692_d0_f	0	0	0	0	0
rxn00693_d0_f	0	0	0	0	0
rxn00720_d0_f	0	0	0	0	0
rxn00737_d0	0	0	0	0	0
rxn00747_d0_f	0	0	0	0	0
rxn00770_d0	0.37785518	0	0.14893794	1.1572113	0
rxn00777_d0_f	1.5185547	2.0388184	0	0	3.347168
rxn00781_d0_f	0	0	0	0	0
rxn00782_d0_f	0	0	0	0	0
rxn00800_d0_f	0.34350586	0	4.788208	2.5830078	2.3330078
rxn00802_d0_f	11.096436	4.112549	6.3774414	9.021606	9.101257
rxn00830_d0_f	0	0	0	0	0
rxn00832_d0_f	0	0	0	0	0
rxn00838_d0	2.8872826	2.1077428	3.375589	3.5854185	2.3162029
rxn00839_d0_f	8.029144	7.2835693	5.231598	9.006409	9.621872
rxn00863_d0_f	0	0	0	0	0
rxn00899_d0	0	0	0	0	0
rxn00907_d0_f	10.97876	4.982483	12.908691	11.0937805	10.356506
